ConceptId	Synonyms
10001000000102	IG (improvement grant) 1 application sent to FPC (family practitioner committee)
10001005	Bacterial septicaemia
10001005	Bacterial septicemia
1001000119102	Pulmonary embolism with infarction
10011000000100	IG (improvement grant) 3 claim for pay sent to FPC (family practitioner committee)
10017004	Occlusal tooth wear
100191000119105	Acquired asymmetry of prostate
1002229008	Fox-Fordyce disease of areola
1002253002	Immunization series incomplete
1003324007	Congenital synostosis of bilateral tibias and fibulas
1003324007	Congenital synostosis of both tibias and fibulas
1003337005	Congenital split of bilateral feet
1003337005	Congenital split of both feet
1003339008	Congenital split of both hands
1003339008	Congenital split of bilateral hands
1003378007	Optic nerve hypoplasia due to endocrinologic deficiency
1003379004	Osteogenesis imperfecta type V
1003380001	Obesity due to 6q16 deletion
1003380001	Prader-Willi-like syndrome due to microdeletion 6q16
1003381002	Trichothiodystrophy type G
1003384005	Multiple congenital segmentation anomalies of vertebrae
1003397007	Multiple-level intestinal atresia
1003398002	Intermediate anorectal malformation with fistula
1003406009	Congenital intermediate sized melanocytic nevus
1003408005	Congenital dystrophy of cornea
1003421003	Intra-abdominal omphalomesenteric duct cyst
1003421003	Intra-abdominal omphalomesenteric cyst
1003423000	Dislocation of incudostapedial articulation
1003431005	Mandibuloacral dysostosis co-occurrent with type A lipodystrophy
1003432003	Mandibuloacral dysostosis co-occurrent with type B lipodystrophy
1003435001	Linear basal cell nevus
1003437009	Leydig cell hypoplasia due to complete LH receptor inactivation
1003437009	Leydig cell hypoplasia due to complete luteinizing hormone receptor inactivation
1003438004	Leydig cell hypoplasia due to partial LH receptor inactivation
1003438004	Leydig cell hypoplasia due to partial luteinizing hormone receptor inactivation
1003440009	Laryngeal cleft type 0
1003442001	Synostosis of bilateral humerus radius and ulna
1003443006	Congenital meatal stenosis of penis
1003445004	Lumbosacral spina bifida cystica with hydrocephalus
1003446003	Synostosis of both humerus and ulna
1003446003	Synostosis of bilateral humerus and ulna
1003447007	Null syndrome
1003447007	PLP1 null syndrome
1003449005	Paternal monosomy 14q32.2
1003460001	Bilateral Keinbock disease
1003466007	Foetal disorder due to maternal autoimmune disease
1003468008	Congenital teratoma of nasopharynx
1003470004	Screening for cancer done
1003473002	B cell aplasia caused by drug
1003512001	Ovarian agenesis
1003514000	Congenital complete absence of liver
1003547009	Ureteric agenesis
1003549007	Agenesis of radial ray
1003549007	Total radial absence
1003551006	Splenic agenesis
1003553009	Agenesis of cilia
1003569002	Agenesis of esophagus
1003571002	Agenesis of calcaneum
1003578008	Agenesis of premaxillary bone
1003583000	Agenesis of bilateral testes
1003583000	Agenesis of both testes
1003605004	Glaucoma suspect due to diabetes mellitus type II
1003612008	CYP4F2 (cytochrome P450 family 4 subfamily F member 2) poor metabolizer
1003612008	CYP4F2 poor metaboliser
1003612008	CYP4F2 poor metabolizer
1003612008	Cytochrome P450 family 4 subfamily F member 2 poor metabolizer
1003612008	CYP4F2 (cytochrome P450 family 4 subfamily F member 2) poor metaboliser
1003620005	Congenital crooked finger
1003621009	Congenital clinodactyly of fifth digit of hand
1003641004	Human leukocyte antigen DQB1*02:02 positive
1003641004	HLA-DQB1*02:02 (human leucocyte antigen DQB1*02:02) positive
1003641004	HLA-DQB1*02:02 (human leukocyte antigen DQB1*02:02) positive
1003644007	Agenesis of bilateral feet
1003644007	Bilateral agenesis of feet
1003657004	Left congenital glaucoma
1003679009	Human immunodeficiency virus Centers for Disease Control and Prevention dual infection with human immunodeficiency virus-1 and human immunodeficiency virus-2
1003679009	HIV-CDC dual infection with HIV-1 and HIV-2
1003680007	HIV-CDC undifferentiated type
1003681006	HIV-CDC stage 0
1003682004	HIV-CDC stage 1
1003683009	HIV-CDC stage 2
1003684003	HIV-CDC stage 3
1003685002	HIV-CDC stage unknown
1003693002	External migration of ovum
1003693002	External transmigration of ovum
1003694008	Transmigration of sperm
1003694008	External migration of sperm
1003694008	Transperitoneal migration of sperm
1003695009	Transperitoneal migration of zygote
1003695009	Transperitoneal migration of fertilized ovum
10037000	Inability to understand oneself
1003701003	Internal transmigration of ovum
1003701003	Internal migration of ovum
1003702005	Internal migration of fertilised ovum
1003702005	Transuterine migration of zygote
1003702005	Transuterine migration of fertilized ovum
1003702005	Internal transmigration of fertilised ovum
1003702005	Internal transmigration of fertilized ovum
1003702005	Internal migration of fertilized ovum
1003728008	Foetal disorder due to maternal hypertension
1003729000	Foetal disorder due to maternal pre-eclampsia
1003756003	Hevea brasiliensis latex protein-induced angio-oedema-urticaria
1003758002	Anaphylaxis caused by Hevea brasiliensis latex protein
1003773001	Traumatic hemarthrosis of glenohumeral joint
1003773001	Traumatic hemarthrosis of shoulder joint
1003773001	Traumatic haemarthrosis of shoulder joint
1003796001	Internal migration
1003796001	Internal transmigration
1003797005	External transmigration
1003797005	External migration
1003842009	Renal tubular dysgenesis drug related
1003848008	Postprocedural recoarctation of aorta
1003861008	Renal tubular dysgenesis due to twin-twin transfusion
1003863006	Postprocedural truncal valvar stenosis
1003870006	Uniparental disomy of paternal origin of chromosome 4
1003871005	Uniparental disomy of paternal origin of chromosome 15
1003872003	Uniparental disomy of paternal origin of chromosome 14
1003873008	Uniparental disomy of paternal origin of chromosome 11
1003874002	Dilatation of neo-ascending aorta following procedure
1003874002	Neo-ascending aorta dilation following procedure
1003879007	Megalourethra of spongiose portion of urethra
1003917004	Secondary hyperplasia of lung
1003919001	Acquired stenosis of common atrioventricular valve following procedure
1003919001	Stenosis of common atrioventricular valve following procedure
1003921006	Sclerocornea of bilateral corneas
1003921006	Sclerocornea of both corneas
1003936009	Primary congenital pulmonary hyperplasia
1003938005	Phenylketonuria due to BH4 deficiency
1003939002	Polydactyly of bilateral index fingers
1003939002	Polydactyly of both index fingers
1004006009	WHO human immunodeficiency virus infection clinical stage
1004007000	Foetal disorder due to and following foetal blood sampling
1004011006	Neonatal disorder due to and following foetal blood sampling
1004012004	Foetal disorder due to and following operative procedure on foetus
1004013009	Neonatal disorder due to and following operative procedure on foetus
1004014003	Foetal disorder due to and following sampling of chorionic villus
1004016001	Foetal disorder due to and following amniocentesis
1004019008	Foetal disorder due to and following operative procedure on mother
1004020002	Foetal disorder due to maternal respiratory disease
1004022005	Foetal disorder due to chronic maternal respiratory disease
1004024006	Fetal disorder due to maternal kidney disease
1004024006	Foetal disorder due to maternal kidney disease
1004024006	Foetal disorder due to maternal renal disease
1004025007	Neonatal disorder due to maternal kidney disease
1004026008	Foetal disorder due to maternal disorder of urinary tract
1004081001	Neonatal disorder due to maternal disease
1004082008	Foetal disorder due to maternal periodontal disease
10041001	Tracheostomy stenosis
1004155003	Uncertain genetic susceptibility to malignant hyperthermia due to calcium voltage-gated channel subunit alpha1 S gene mutation
100491000119103	Myelopathy co-occurrent and due to spinal stenosis of lumbar region
10050004	Superficial bruising of chest wall
100511000119108	Thoracic spinal stenosis with myelopathy
10057001	Parapsoriasis guttata
10057001	Guttate parapsoriasis
10057001	PLC - Pityriasis lichenoides chronica
10057001	Pityriasis lichenoides chronica
10057001	Parapsoriasis varioliformis chronica
10058006	Spontaneous abortion with amniotic fluid embolism
100581000119102	Sequela of traumatic intracranial hemorrhage
10065003	Acne excoriee des jeunes filles
10070005	Quinoline poisoning
10070005	Poisoning caused by quinoline AND/OR hydroxyquinoline derivative
100721000119109	High grade astrocytoma brain cancer
100731000119107	Low grade astrocytoma brain cancer
10076004	Ischemic muscular atrophy
10078003	Turner tooth
10078003	Localised enamel or dentine hypoplasia
10078003	Localized enamel or dentine hypoplasia
10078003	Enamel hypoplasia of single tooth
10078003	Turner's hypoplasia
10085004	Pain in ball of foot
10087007	Schistosomosis
10087007	Infection caused by Schistosoma
10087007	Bilharzia
10087007	Schistosomiasis - bilharziasis
10087007	Bilharziasis
10087007	Blood fluke infection
10087007	Haemic distomiasis
10087007	Hemic distomiasis
10087007	Schistosomiasis
10091000000109	FP78 form requested from FPC (family practitioner committee)
10093004	Anisakiasis caused by Anisakis simplex larva
100941000119100	Epilepsy in pregnancy
101000119102	Numbness and tingling of skin
10101000000101	FP78 form sent to FPC (family practitioner committee)
1010206000	Traumatic amputation of left arm
1010206000	Traumatic amputation of left upper extremity
1010207009	Traumatic amputation of right upper extremity
1010207009	Traumatic amputation of right arm
1010208004	Hematoma of spleen with open wound into abdominal cavity
