ConceptId	MapTarget
10000006	R074
10001005	A419
10007009	Q898
1001000119102	I269
10017004	K030
100191000119105	#NC
100211000119106	R252
100231000119101	I318
10028000	F133
1003002	Z609
10033001	Q796
10037000	#NC
10041001	J950
100491000119103	M4806
100491000119103	G992A
10050004	S202
10051000	I050
100511000119108	G959
100511000119108	M4804
10057001	L411
10058006	O037
100581000119102	T905
10061007	S0670
10065003	L705
10068001	G938
10070005	T378
100721000119109	C719
100731000119107	C719
100751000119101	T828
10076004	T796
10078003	K004
100801000119107	O993
100801000119107	F171
10082001	B060D
10082001	G051A
100841000119109	O998
100841000119109	Z988
10085004	M774
10087007	B659
10091002	I509
10093004	B810
100941000119100	O993
100941000119100	G409
10100008	H408
101000119102	R208
101071000119104	#NC
1011000119104	Z960
10114008	N979
10121008	S118
10128002	L718
101281000119107	I500
101281000119107	I429
10129005	S451
101301000119106	J9601
101301000119106	G473
10132008	T290
101321000119102	D161
101351000119105	D169
10137002	T201
10138007	D758
10139004	Z567
101391000119100	D169
101401000119103	J841
101411000119100	M898
101421000119107	G20X
101421000119107	F023A
101461000119102	G588
10151000132103	R509
10151000132103	B349
10152009	#NC
10153004	D65X
10155006	Q651
101551000119103	R222
101601000119101	D361
101621000119105	D361
10164001	I498
10165000	L859
10170007	E703
10171000132106	R418
101711000119105	N059
101711000119105	I776
10177005	Q927
10180006	E831
10184002	K830
10186000	T568
10188004	M861
10191004	Z921
10193001	M008
10193001	B965
10194007	N459
10196009	M910
1020003	A985
1020003	N080A
102031000119109	N508
10205009	L26X
10205009	D531
1021000119106	Z958
10211000132109	O993
10211000132109	F329
10212000	#NC
102161000119102	Z638
10217006	O702
102171000119108	Z638
102191000119109	Z916
10221004	T622
102268008	#NC
10227000	A600
10227000	N518A
102274008	#NC
102275009	#HLT
102276005	#HLT
102277001	#NC
102278006	#HLT
1023001	R068
10231000132102	Z33X
102331000119107	N811
102341000119103	N328
10235002	T533
102361000119104	J984
102401000119108	J392
102447009	M810
102448004	G240
102449007	G240
102450007	H535
102451000119107	I442
102451000119107	Y838
102451006	H102
102452004	E060
102453009	J36X
1024551000000109	#NC
102457005	T741
1024571000000100	#NC
102458000	T741
102459008	#NC
102460003	#NC
102461004	#NC
102462006	#NC
102464007	#NC
102465008	#NC
102466009	#NC
102467000	#NC
102469002	#NC
102470001	#NC
1024701000000100	#NC
102471002	#NC
1024711000000103	#NC
102472009	#NC
102473004	#NC
102475006	#HLT
102476007	#HLT
102477003	#HLT
1024771000000108	#NC
102478008	#NC
102479000	#NC
102480002	R520
102481003	R521
102482005	R298
102483000	#HLT
102484006	#NC
102491009	R263
102492002	#HLT
102493007	#NC
102494001	#NC
102496004	R509
102497008	R457
102498003	#NC
102499006	#NC
102500002	Z382
102501003	Z382
102502005	Z382
1025021000000107	#NC
102503000	P073
102504006	P073
102505007	P073
102506008	#NC
102507004	#NC
102508009	#NC
102509001	#NC
102510006	#NC
102511005	#NC
102512003	#NC
102513008	#NC
102514002	#NC
102515001	#NC
102516000	#NC
102517009	#NC
102520001	#NC
102521002	#NC
102522009	#NC
102523004	#NC
102524005	#NC
102525006	#NC
102526007	#NC
102527003	#NC
102528008	#NC
102533007	#NC
102535000	#NC
102536004	#NC
102538003	#NC
102539006	#NC
102540008	#NC
102541007	#NC
102543005	#HLT
1025471000000102	#NC
102548001	#NC
102549009	R252
102551008	R252
102553006	M858
102554000	M5422
102555004	M542
1025551000000105	#NC
102556003	M796
102557007	I739
102558002	R600
10256000	S0630
102560000	R600
102561001	R278
102562008	R600
102563003	R600
102564009	R600
102565005	R600
102566006	R600
102567002	R262
102568007	G831
102569004	#NC
102570003	R102
102572006	R600
102573001	R600
1025741000000103	#NC
102575008	R600
102576009	R600
1025761000000102	#NC
102577000	R060
102578005	J980
102580004	#NC
102581000	R093
102584008	#NC
102586005	R012
102587001	R074
102588006	R073
102589003	R074
102590007	R002
102591006	R073
102594003	R943
102595002	#NC
102596001	#NC
102598000	R231
102599008	#NC
10260002	N859
102601005	R208
102603008	R208
102605001	A521
102606000	L82X
102607009	R638
102608004	R632
102609007	R633
102610002	E639
102612005	#HLT
102613000	R104
102614006	R104
102615007	R101
102616008	K137
102617004	J041
102618009	J392
102619001	R198
102621000119101	E115
102621000119101	L984
102621006	R198
102622004	R11X
102623009	R198
102624003	R198
102625002	R198
102626001	K768
102627005	R101
102628000	K828
102629008	#NC
102630003	#HLT
102631000119103	R02X
102631000119103	I739
102631004	R101
102632006	E291
102633001	#NC
102634007	#NC
102635008	E639
102636009	E639
102659003	#NC
102660008	#HLT
10269001	P249
1027000	K210
10273003	I214
10277002	#HLT
10278007	D692
102781000119107	E104D
102781000119107	G632A
102799005	#NC
102800009	R944
102801008	#HLT
102802001	R944
102803006	N288
10281000132103	#NC
102829006	N288
102830001	N23X
10283004	Q518
102831000119104	G822
102831000119104	I694
102831002	N23X
102832009	N319
102834005	#NC
102835006	R391
102836007	N359
102837003	R829
102838008	R829
102840003	R829
102841004	R829
102843001	R829
102844007	R829
102845008	R829
102846009	R829
102847000	R829
102848005	R829
102849002	R829
102850002	#NC
102851003	R829
102852005	R829
102853000	R829
102854006	R829
102855007	R829
102856008	R829
102857004	R829
102858009	R829
102859001	R829
102860006	R829
102861005	R829
102862003	R829
102863008	R829
102864002	R829
102865001	R829
102866000	R829
102868004	T838
102868004	Z975
102871000119101	E039
102871000119101	E069
102872000	Z640
102873005	Z640
102874004	#NC
